id,ctime,time,level,title,content
2354700,1777014612,2026/4/24 15:10:12,C,上金所：做好劳动节期间市场风险控制工作,"【上金所：做好劳动节期间市场风险控制工作】财联社4月24日电，上海黄金交易所发布关于做好劳动节期间市场风险控制工作的通知，根据我所节假日休市安排公告，我所5月1日（星期五）至5月5日（星期二）休市，5月6日（星期三）起照常开市，4月30日（星期四）晚上不进行夜市交易。  为防范节日期间国际市场黄金、白银价格波动造成市场风险，根据《上海黄金交易所风险控制管理办法》的有关规定，我所对相关合约交易保证金比例和涨跌停板进行调整。现将相关事项通知如下：  一、自2026年4月28日（星期二）收盘清算时起，Au（T+D）、mAu（T+D）、Au（T+N1）、Au（T+N2）、NYAuTN06、NYAuTN12等合约的保证金比例从18%调整为21%，下一交易日起涨跌幅度限制从17%调整为20%；Ag（T+D）合约的保证金比例从24%调整为27%，下一交易日起涨跌幅度限制从23%调整为26%；CAu99.99合约保证金每手180,000元调整至每手200,000元。  若4月28日出现单边市，按照《上海黄金交易所风险控制管理办法》的相关规定调整的保证金和涨跌停板的水平高于上述标准时，则按较高的标准执行。  二、2026年5月6日（星期三）恢复交易后，自第一个未出现单边市的交易日收盘清算时起，Au（T+D）、mAu（T+D）、Au（T+N1）、Au（T+N2）、NYAuTN06、NYAuTN12等合约保证金比例恢复为18%，下一交易日起涨跌幅度限制恢复为17%；Ag（T+D）合约保证金比例恢复为24%，下一交易日起涨跌幅度限制恢复为23%；CAu99.99合约保证金每手恢复至180,000元。  请各会员提高风险防范意识，做细做好风险应急预案，提示投资者做好风险防范工作，合理控制仓位，理性投资，确保市场稳定健康运行。"
2354701,1777014659,2026/4/24 15:10:59,C,,财联社4月24日电，截至目前，南向资金净买入额达40亿港元。
2354702,1777014719,2026/4/24 15:11:59,C,,财联社4月24日电，意法半导体米兰上市股价上涨2.5%，触及2024年3月以来最高水平。
2354704,1777014940,2026/4/24 15:15:40,B,4月24日涨停分析,【4月24日涨停分析】财联社4月24日电，今日全市场共59股涨停，连板股总数8只，20股封板未遂，封板率为75%（不含ST股、退市股）。焦点股方面，算力板块盛视科技9天5板，氦气概念股水发燃气5天4板，纺织股泰慕士3连板。
2354706,1777015068,2026/4/24 15:17:48,C,国债期货收盘涨跌参半,【国债期货收盘涨跌参半】财联社4月24日电，国债期货收盘涨跌参半，30年期主力合约跌0.50%报113.280元，10年期主力合约跌0.04%报108.720元，5年期主力合约涨0.01%报106.260元，2年期主力合约涨0.01%报102.596元。
2354708,1777015131,2026/4/24 15:18:51,C,,财联社4月24日电，现代汽车首席执行官穆尼奥斯表示，计划到2030年把中国市场在全球销量中的占比提高至约9%，较当前水平增加逾一倍。
2354710,1777015141,2026/4/24 15:19:01,C,财政部：一季度全国一般公共预算收入同比增长2.4% 增幅比前两个月提高1.7个百分点,【财政部：一季度全国一般公共预算收入同比增长2.4% 增幅比前两个月提高1.7个百分点】财联社4月24日电，财政部国库支付中心主任王建勋24日在财政部新闻发布会上表示，一季度全国一般公共预算收入同比增长2.4%，增幅比前两个月提高1.7个百分点，也高于过去三年同期水平，反映出我国经济运行“十五五”起步有力、开局良好。 (新华财经)
2354705,1777015158,2026/4/24 15:19:18,C,小米汽车CTO胡峥楠：未来会针对全球不同市场开发独特产品 现阶段专注现有产品,【小米汽车CTO胡峥楠：未来会针对全球不同市场开发独特产品 现阶段专注现有产品】财联社4月24日电，小米汽车CTO胡峥楠今日表示，随着公司规模扩大、市场扩大，小米汽车会针对全球不同市场开发独特产品，但现阶段还是会专注现有产品。在2026北京车展上，小米欧洲研发中心专家团队首次亮相，团队深度参与研发首款产品YU7 GT于5月底正式发布。（财联社记者 徐昊）
2354711,1777015161,2026/4/24 15:19:21,C,武汉：一季度武汉GDP同比增长5.7%,【武汉：一季度武汉GDP同比增长5.7%】财联社4月24日电，根据湖北省市州生产总值统一核算结果，初步核算，一季度武汉全市地区生产总值（GDP）5042.99亿元，按不变价格计算，同比增长5.7%。分产业看，第一产业增加值76.28亿元，增长4.3%；第二产业增加值1781.30亿元，增长8.2%；第三产业增加值3185.41亿元，增长4.4%。
2354675,1777015185,2026/4/24 15:19:45,C,厂商控产叠加旺季来临 业内预计制冷剂市场近期或将集中提价,【厂商控产叠加旺季来临 业内预计制冷剂市场近期或将集中提价】财联社4月24日电，财联社记者近期采访多位制冷剂厂家、贸易商获悉，制冷剂市场或将迎来新一轮集中涨价。“R22今天（4月22日）已经20500元（一吨）了，近期价格发酵得较快，之前2万一吨的时候客户还在观望，现在陆续都有成交了！”有贸易商向财联社记者透露。据悉，三月份以来，由于厂商有意识控产，当前制冷剂企业库存和社会库存均处于低位。原油价格居高不下，也对制冷剂后续涨价形成支撑。随着制冷旺季到来，业内人士预计，二代制冷剂R22因目前价格相对较低，此轮涨价幅度有望超过2000元/吨，R32等三代制冷剂涨幅也有望在1000元/吨以上。（财联社记者 方彦博）
